payment_fact_key,customer_key,film_key,store_key,staff_key,date_key,payment_amount,payment_count
40463,471,556,1,126,20100202,25.0,1
40464,313,945,1,120,20100202,60.8,1
40465,362,886,1,16,20100129,74.9,1
40466,431,644,2,63,20100129,90.2,1
40467,370,270,2,11,20100202,66.1,1
40468,41,501,2,10,20100129,12.4,1
40469,354,122,2,16,20100201,93.8,1
40470,447,538,2,13,20100201,41.7,1
40471,388,5,2,10,20100201,87.6,1
40472,233,773,1,6,20100202,97.9,1
40473,182,649,2,77,20100203,73.5,1
40474,486,109,2,74,20100130,23.6,1
40475,220,445,2,64,20100131,86.4,1
40476,542,409,1,117,20100130,9.1,1
40477,153,920,1,20,20100202,45.5,1
40478,6,827,1,70,20100203,87.4,1
40479,373,820,1,123,20100131,28.9,1
40480,548,901,1,63,20100204,90.8,1
40481,142,673,1,71,20100131,80.0,1
40482,313,57,2,14,20100203,52.5,1
40483,104,871,1,5,20100201,67.7,1
40484,134,381,2,67,20100131,42.9,1
40485,146,966,1,8,20100131,47.4,1
40486,395,461,2,15,20100201,66.6,1
40487,537,434,2,78,20100204,49.1,1
40488,162,260,2,80,20100204,21.2,1
40489,593,686,1,14,20100203,25.8,1
40490,43,690,1,78,20100202,84.3,1
40491,82,200,1,73,20100203,16.1,1
40492,394,12,2,6,20100204,22.3,1
40493,163,760,2,76,20100202,5.5,1
40494,294,653,1,19,20100131,5.9,1
40495,352,823,1,13,20100204,37.4,1
40496,392,156,2,121,20100201,94.4,1
40497,289,3,2,76,20100201,22.0,1
40498,577,864,2,75,20100203,9.2,1
40499,279,18,2,120,20100202,78.3,1
40500,66,51,2,17,20100201,84.9,1
40501,520,240,2,20,20100202,83.9,1
40502,295,414,1,119,20100131,75.4,1
40503,498,467,1,2,20100201,36.7,1
40504,294,764,2,63,20100205,93.6,1
40505,500,660,1,2,20100201,25.5,1
40506,451,1,2,66,20100205,81.3,1
40507,566,895,2,6,20100202,34.0,1
40508,233,744,2,121,20100201,32.9,1
40509,415,786,2,5,20100204,43.8,1
40510,566,361,1,74,20100203,22.8,1
40511,67,439,1,74,20100204,24.3,1
40512,7,408,1,5,20100205,71.9,1
40513,336,979,1,123,20100201,21.8,1
40514,103,903,2,81,20100205,46.8,1
40515,409,353,2,16,20100202,74.0,1
40516,134,103,1,122,20100203,69.2,1
40517,454,378,2,63,20100203,78.5,1
40518,133,291,1,62,20100202,1.2,1
40519,395,912,2,115,20100203,61.0,1
40520,553,963,2,6,20100205,3.8,1
40521,301,478,2,13,20100202,14.7,1
40522,229,205,1,16,20100203,10.0,1
40523,384,803,2,3,20100202,77.0,1
40524,61,426,2,121,20100203,32.1,1
40525,132,556,1,17,20100203,23.1,1
40526,349,252,2,122,20100205,34.8,1
40527,277,248,2,65,20100204,82.7,1
40528,116,331,1,118,20100204,9.1,1
40529,327,611,2,14,20100201,91.2,1
40530,496,295,1,76,20100205,49.1,1
40531,196,627,2,68,20100204,77.9,1
40532,275,755,1,76,20100206,39.0,1
40533,385,403,1,76,20100206,72.5,1
40534,167,661,1,1,20100204,20.5,1
40535,173,988,1,12,20100206,15.1,1
40536,154,67,2,71,20100206,56.1,1
40537,279,637,1,20,20100204,1.2,1
40538,391,341,2,14,20100206,94.1,1
40539,285,273,1,73,20100204,7.9,1
40540,470,891,1,16,20100207,16.8,1
40541,348,418,2,63,20100207,54.2,1
40542,94,284,1,67,20100206,30.6,1
40543,79,862,1,72,20100204,84.6,1
40544,495,127,1,8,20100204,4.7,1
40545,312,265,1,63,20100209,26.1,1
40546,206,49,1,2,20100209,31.3,1
40547,412,632,1,79,20100205,87.7,1
40548,365,275,1,121,20100208,2.7,1
40549,212,357,2,15,20100206,86.1,1
40550,152,572,2,62,20100210,77.8,1
40551,395,513,2,69,20100208,31.1,1
40552,492,220,1,76,20100206,27.2,1
40553,65,210,2,63,20100209,2.4,1
40554,31,526,2,8,20100211,67.5,1
40555,302,374,1,62,20100209,64.3,1
40556,222,518,2,126,20100211,94.5,1
40557,443,402,1,15,20100209,43.8,1
40558,575,809,2,72,20100211,58.1,1
40559,224,436,2,119,20100207,43.0,1
40560,391,173,1,10,20100209,34.2,1
40561,365,806,1,122,20100207,80.3,1
40562,140,972,2,5,20100207,20.7,1
40563,84,946,2,68,20100209,41.3,1
40564,284,850,2,17,20100207,8.0,1
40565,256,272,1,79,20100210,93.9,1
40566,14,453,1,2,20100208,27.9,1
40567,284,149,2,12,20100208,38.8,1
40568,182,450,2,123,20100211,18.4,1
40569,143,378,2,121,20100208,72.2,1
40570,186,831,1,114,20100212,6.2,1
40571,238,804,1,12,20100211,14.7,1
40572,168,1000,1,74,20100208,63.0,1
40573,90,734,2,114,20100210,87.8,1
40574,41,668,1,124,20100211,61.8,1
40575,347,914,2,118,20100209,41.6,1
40576,297,593,2,71,20100209,24.9,1
40577,500,7,2,114,20100211,76.3,1
40578,199,498,1,79,20100209,23.4,1
40579,533,120,1,15,20100209,2.8,1
40580,538,718,2,72,20100209,24.9,1
40581,164,364,1,5,20100212,53.9,1
40582,460,263,2,80,20100210,88.5,1
40583,542,199,1,79,20100209,98.0,1
40584,474,193,2,16,20100210,89.6,1
40585,272,272,1,16,20100211,98.7,1
40586,590,75,2,71,20100212,35.5,1
40587,42,895,2,15,20100210,55.9,1
40588,270,975,2,14,20100214,25.0,1
40589,25,115,2,122,20100212,31.0,1
40590,191,738,2,16,20100213,99.7,1
40591,571,418,2,73,20100211,87.1,1
40592,146,72,1,63,20100213,3.7,1
40593,241,750,1,3,20100213,59.8,1
40594,189,578,2,65,20100214,29.5,1
40595,143,979,1,71,20100213,35.8,1
40596,548,374,2,65,20100214,60.0,1
40597,463,772,1,72,20100215,2.1,1
40598,173,77,1,20,20100213,8.9,1
40599,363,670,2,1,20100213,53.4,1
40600,473,245,1,71,20100212,83.2,1
40601,212,300,1,114,20100217,68.4,1
40602,60,213,1,113,20100213,13.2,1
40603,305,353,2,114,20100214,60.4,1
40604,219,900,1,117,20100214,46.2,1
40605,208,757,1,71,20100217,31.1,1
40606,80,516,2,66,20100216,27.4,1
40607,286,912,2,121,20100214,37.0,1
40608,158,374,1,6,20100214,51.1,1
40609,39,494,1,17,20100216,24.4,1
40610,6,974,1,72,20100218,46.5,1
40611,222,63,1,8,20100215,86.8,1
40612,323,501,1,67,20100217,76.5,1
40613,447,621,1,3,20100218,97.6,1
40614,12,951,2,20,20100215,64.7,1
40615,48,39,1,9,20100218,67.7,1
40616,267,544,2,68,20100216,20.1,1
40617,466,364,1,73,20100216,3.8,1
40618,214,609,2,74,20100216,14.0,1
40619,384,601,1,21,20100215,19.9,1
40620,228,330,2,16,20100217,13.3,1
40621,94,272,1,73,20100217,84.8,1
40622,428,184,2,71,20100218,25.6,1
40623,84,554,1,63,20100218,17.3,1
40624,272,892,1,7,20100219,63.8,1
40625,289,393,1,68,20100219,89.2,1
40626,577,302,1,113,20100218,42.2,1
40627,101,193,2,63,20100218,6.2,1
40628,570,352,2,11,20100218,17.7,1
40629,521,621,1,5,20100216,99.3,1
40630,552,392,2,117,20100215,13.1,1
40631,560,508,2,121,20100216,34.5,1
40632,44,468,1,6,20100219,75.4,1
40633,593,609,2,3,20100219,16.4,1
40634,445,309,2,62,20100218,81.4,1
40635,59,357,2,121,20100215,55.0,1
40636,342,319,2,19,20100215,27.0,1
40637,353,254,2,16,20100219,70.2,1
40638,585,894,1,70,20100220,28.1,1
40639,151,518,1,122,20100217,42.6,1
40640,534,496,1,75,20100220,42.2,1
40641,127,780,2,20,20100220,26.5,1
40642,86,922,2,71,20100218,54.6,1
40643,73,625,1,77,20100217,24.6,1
40644,116,849,2,20,20100221,39.8,1
40645,447,598,1,74,20100220,31.4,1
40646,284,945,2,123,20100221,32.7,1
40647,387,487,2,79,20100220,36.0,1
40648,445,785,1,74,20100222,19.1,1
40649,569,785,1,65,20100221,38.7,1
40650,311,875,2,117,20100221,51.7,1
40651,194,57,1,126,20100219,12.2,1
40652,106,463,2,20,20100220,24.9,1
40653,141,400,1,17,20100223,70.2,1
40654,346,869,2,78,20100221,60.1,1
40655,382,561,1,65,20100223,25.9,1
40656,289,812,2,118,20100219,32.0,1
40657,244,854,2,17,20100223,67.1,1
40658,68,536,1,8,20100223,21.8,1
40659,598,295,2,12,20100223,88.8,1
40660,560,220,2,116,20100222,39.0,1
40661,51,769,2,11,20100223,47.6,1
40662,41,651,2,19,20100220,65.3,1
40663,361,265,1,118,20100221,87.1,1
40664,564,606,1,11,20100223,68.5,1
40665,382,319,2,122,20100221,55.0,1
40666,209,535,1,9,20100225,78.7,1
40667,448,321,1,12,20100221,61.2,1
40668,466,99,2,16,20100221,9.4,1
40669,582,948,2,19,20100223,27.8,1
40670,346,931,2,78,20100223,72.1,1
40671,425,707,1,16,20100223,42.6,1
40672,213,353,2,10,20100221,70.8,1
40673,47,599,2,9,20100221,41.8,1
40674,56,285,2,13,20100226,56.9,1
40675,229,619,2,120,20100224,46.8,1
40676,433,638,2,119,20100223,54.1,1
40677,581,447,2,120,20100223,74.4,1
40678,298,237,1,7,20100226,35.6,1
40679,393,72,2,13,20100223,9.2,1
40680,356,135,2,12,20100223,8.5,1
40681,317,31,2,74,20100226,48.8,1
40682,94,875,1,63,20100222,23.6,1
40683,142,308,2,75,20100222,94.2,1
40684,381,320,2,19,20100226,70.2,1
40685,597,680,2,81,20100224,35.7,1
40686,329,958,1,118,20100223,31.8,1
40687,53,35,1,71,20100223,38.6,1
40688,411,663,2,77,20100222,3.2,1
40689,250,680,2,11,20100222,93.0,1
40690,344,126,2,73,20100225,72.3,1
40691,331,181,2,73,20100225,71.0,1
40692,290,232,1,71,20100225,79.6,1
40693,180,895,2,113,20100224,19.8,1
40694,438,582,2,11,20100225,38.5,1
40695,144,651,2,14,20100224,28.8,1
40696,251,49,1,74,20100223,31.2,1
40697,365,131,2,123,20100226,68.3,1
40698,589,241,1,124,20100225,9.7,1
40699,190,54,2,21,20100227,6.9,1
40700,155,881,2,74,20100228,39.5,1
40701,17,78,1,1,20100301,59.1,1
40702,324,456,2,6,20100227,67.7,1
40703,89,665,1,16,20100227,74.0,1
40704,83,275,1,15,20100228,3.6,1
40705,53,510,1,11,20100301,71.2,1
40706,145,523,1,6,20100301,55.5,1
40707,1,464,1,3,20100302,60.3,1
40708,114,26,1,18,20100228,72.7,1
40709,297,383,1,122,20100226,72.0,1
40710,332,483,1,12,20100301,88.4,1
40711,344,595,1,3,20100301,29.5,1
40712,451,890,1,65,20100303,71.1,1
40713,397,663,1,2,20100228,56.2,1
40714,220,251,2,2,20100228,66.8,1
40715,348,716,2,16,20100302,20.3,1
40716,534,606,2,69,20100303,69.8,1
40717,98,24,1,121,20100228,66.8,1
40718,247,878,2,12,20100228,87.6,1
40719,512,373,2,76,20100304,65.5,1
40720,585,878,2,76,20100303,16.7,1
40721,486,975,2,72,20100301,72.5,1
40722,274,995,2,62,20100301,74.4,1
40723,291,437,1,79,20100303,50.1,1
40724,210,330,1,11,20100228,26.1,1
40725,567,174,2,79,20100302,62.3,1
40726,38,476,2,10,20100228,89.9,1
40727,343,888,1,11,20100304,21.5,1
40728,411,105,1,62,20100228,92.2,1
40729,573,22,1,69,20100228,17.5,1
40730,249,863,1,78,20100304,82.6,1
40731,541,59,2,67,20100302,63.5,1
40732,148,953,1,7,20100301,66.6,1
40733,553,245,2,124,20100303,6.6,1
40734,28,445,2,116,20100303,94.1,1
40735,125,292,1,121,20100304,39.3,1
40736,257,986,1,1,20100228,52.2,1
40737,514,922,2,119,20100228,66.8,1
40738,254,334,2,63,20100228,67.7,1
40739,255,363,2,123,20100228,85.0,1
40740,555,190,2,10,20100304,44.5,1
40741,273,985,2,10,20100303,95.0,1
40742,482,718,2,5,20100304,14.5,1
40743,24,212,2,63,20100303,90.9,1
40744,236,734,1,76,20100304,33.4,1
40745,34,879,1,3,20100304,96.8,1
40746,363,958,1,74,20100228,58.5,1
40747,236,162,2,20,20100301,1.8,1
40748,26,361,2,7,20100305,34.0,1
40749,419,292,2,21,20100301,31.7,1
40750,397,591,2,64,20100302,87.9,1
40751,497,186,2,70,20100301,8.0,1
40752,15,557,2,125,20100303,11.2,1
40753,148,963,2,114,20100303,8.6,1
40754,424,720,2,72,20100303,50.0,1
40755,267,790,1,16,20100304,11.1,1
40756,71,504,1,16,20100301,47.9,1
40757,375,150,2,62,20100303,14.6,1
40758,387,929,1,63,20100303,47.5,1
40759,267,972,1,8,20100303,58.3,1
40760,227,11,1,123,20100302,96.4,1
40761,547,103,1,67,20100304,76.6,1
40762,106,732,1,1,20100304,4.6,1
40763,398,786,2,76,20100304,71.8,1
40764,238,455,1,73,20100304,99.7,1
40765,211,349,1,76,20100301,32.5,1
40766,432,158,1,21,20100304,10.4,1
40767,294,273,1,18,20100301,8.5,1
40768,211,764,2,62,20100303,13.3,1
40769,230,153,1,71,20100302,54.7,1
40770,443,11,2,71,20100301,37.6,1
40771,285,956,1,119,20100302,11.5,1
40772,543,927,1,72,20100305,22.0,1
40773,427,498,1,75,20100302,40.0,1
40774,364,197,1,5,20100304,69.2,1
40775,422,609,2,12,20100302,93.1,1
40776,567,720,2,125,20100304,16.0,1
40777,106,154,2,3,20100301,64.1,1
40778,191,53,1,7,20100303,43.4,1
40779,263,992,2,114,20100302,41.8,1
40780,144,989,1,71,20100302,75.1,1
40781,236,493,2,14,20100304,95.6,1
40782,13,985,2,13,20100304,13.0,1
40783,121,282,2,75,20100303,2.1,1
40784,352,344,1,78,20100304,85.6,1
40785,564,138,2,6,20100307,85.4,1
40786,507,241,1,63,20100307,5.1,1
40787,311,482,1,3,20100305,96.5,1
40788,370,480,2,75,20100308,59.8,1
40789,123,384,2,6,20100306,25.9,1
40790,57,1,2,20,20100309,27.4,1
40791,127,311,1,21,20100308,37.2,1
40792,596,639,2,2,20100307,31.2,1
40793,346,793,1,123,20100310,55.7,1
40794,291,572,1,6,20100308,25.8,1
40795,279,394,1,62,20100307,2.3,1
40796,168,805,1,117,20100310,74.2,1
40797,504,453,2,63,20100310,8.9,1
40798,326,887,2,5,20100311,48.8,1
40799,342,96,1,63,20100310,49.0,1
40800,473,467,1,71,20100308,37.2,1
40801,163,350,1,71,20100308,56.6,1
40802,586,446,2,122,20100312,48.4,1
40803,364,871,2,5,20100311,11.9,1
40804,401,880,1,4,20100312,24.0,1
40805,42,394,1,70,20100310,97.6,1
40806,1,370,1,2,20100310,7.6,1
40807,558,793,1,81,20100308,8.7,1
40808,213,479,1,67,20100312,30.1,1
40809,281,760,2,11,20100313,9.2,1
40810,276,628,1,118,20100311,69.5,1
40811,579,562,2,11,20100310,43.2,1
40812,102,140,1,21,20100313,10.6,1
40813,220,214,2,16,20100313,34.3,1
40814,557,535,1,21,20100312,73.4,1
40815,453,412,1,77,20100315,92.7,1
40816,349,720,1,64,20100312,80.6,1
40817,425,852,1,17,20100314,30.6,1
40818,432,76,1,78,20100316,47.9,1
40819,590,245,2,21,20100316,37.9,1
40820,129,12,2,7,20100314,17.2,1
40821,145,603,2,3,20100313,42.1,1
40822,238,428,1,7,20100317,17.1,1
40823,194,57,1,8,20100315,77.1,1
40824,356,331,1,21,20100316,53.8,1
40825,14,586,2,3,20100314,1.9,1
40826,135,31,1,20,20100318,24.4,1
40827,80,160,1,121,20100314,32.5,1
40828,355,564,2,74,20100317,21.3,1
40829,335,808,2,16,20100319,80.4,1
40830,551,382,1,124,20100318,25.0,1
40831,283,231,2,2,20100315,89.8,1
40832,420,294,1,7,20100316,81.2,1
40833,4,525,2,3,20100318,45.8,1
40834,594,12,1,11,20100315,10.0,1
40835,471,76,1,17,20100316,23.0,1
40836,95,627,2,20,20100316,58.9,1
40837,206,546,2,78,20100319,47.7,1
40838,27,44,1,12,20100318,95.0,1
40839,474,892,2,19,20100318,79.1,1
40840,328,444,1,16,20100321,36.3,1
40841,502,619,2,76,20100321,8.1,1
40842,234,773,1,14,20100320,74.2,1
40843,1,271,1,12,20100322,44.2,1
40844,149,531,1,13,20100324,57.6,1
40845,498,999,2,3,20100324,42.6,1
40846,289,919,1,63,20100325,80.8,1
40847,138,841,2,12,20100325,86.0,1
40848,459,535,1,62,20100324,3.0,1
40849,576,852,2,2,20100321,39.5,1
40850,369,152,1,76,20100324,58.1,1
40851,427,869,2,21,20100325,25.0,1
40852,451,753,1,119,20100324,64.0,1
40853,336,321,1,78,20100326,26.0,1
40854,412,468,1,13,20100322,57.1,1
40855,226,420,1,16,20100326,61.1,1
40856,160,738,1,9,20100323,5.9,1
40857,166,795,1,69,20100322,4.9,1
40858,342,985,1,5,20100325,26.0,1
40859,90,235,2,16,20100325,78.3,1
40860,253,785,1,116,20100323,39.3,1
40861,429,552,2,124,20100324,91.6,1
40862,414,640,2,121,20100327,79.0,1
40863,600,212,2,20,20100326,57.4,1
40864,400,818,1,11,20100326,50.2,1
40865,177,854,2,62,20100325,87.8,1
40866,416,456,2,121,20100328,72.1,1
40867,136,641,2,65,20100328,57.9,1
40868,243,241,1,68,20100327,84.7,1
40869,222,169,2,68,20100328,25.8,1
40870,583,707,1,75,20100327,82.9,1
40871,25,69,2,21,20100331,97.5,1
40872,429,151,2,12,20100328,12.6,1
40873,198,170,2,74,20100401,28.7,1
40874,459,54,1,3,20100329,96.7,1
40875,258,314,2,115,20100329,10.0,1
40876,168,159,2,72,20100401,65.2,1
40877,107,865,1,6,20100331,83.2,1
40878,574,723,2,71,20100401,8.4,1
40879,439,406,2,79,20100330,34.0,1
40880,510,12,2,119,20100329,61.1,1
40881,100,823,2,71,20100330,63.6,1
40882,429,711,2,121,20100329,23.2,1
40883,545,913,2,14,20100329,78.2,1
40884,591,448,1,2,20100328,12.7,1
40885,380,552,2,19,20100328,36.2,1
40886,349,43,2,74,20100331,73.3,1
40887,42,78,2,78,20100329,23.5,1
40888,174,300,1,5,20100402,26.5,1
40889,477,811,1,122,20100402,81.2,1
40890,115,468,1,67,20100331,37.5,1
40891,448,420,2,69,20100402,34.7,1
40892,381,468,2,117,20100329,36.2,1
40893,480,476,1,6,20100402,83.0,1
40894,152,176,2,74,20100402,68.7,1
40895,351,745,2,69,20100329,47.6,1
40896,563,900,2,19,20100330,89.1,1
40897,527,416,2,71,20100401,30.6,1
40898,532,310,1,76,20100402,23.9,1
